titulo,year,duracion,presupuesto,recaudacion,personajes,valoracion
Iron Man,2008,126,140,585,"Iron Man, Pepper Potts, Obadiah Stane",7.9
The Avengers,2012,143,220,1518,"Iron Man, Capitan America, Thor, Hulk",8.0
Black Panther,2018,134,200,1347,"Black Panther, T'Challa, Killmonger, Shuri",7.3
Avengers: Infinity War,2018,149,316,2052,"Iron Man, Capitan America, Thor, Thanos, Spiderman, Hulk, Viuda Negra, Ojo de Halcón, Bruja Escarlata, Doctor Strange, Star-Lord, Gamora, Drax, Rocket, Groot",7.5
Avengers: Endgame,2019,181,356,2798,"Iron Man, Capitan America, Thor, Thanos, Spiderman, Hulk, Viuda Negra, Ojo de Halcón, Bruja Escarlata, Doctor Strange, Star-Lord, Gamora, Drax, Rocket, Groot",8.4
SpiderMan: No Way Home,2021,148,200,1921,"Spiderman, Doctor Strange, Green Goblin",8.2
Guardians of the Galaxy,2014,121,170,773,"Star-Lord, Gamora, Drax, Rocket, Groot",8.0
Doctor Strange,2016,115,165,677,"Stephen Strange, Wong, Mordo",7.5
Thor: Ragnarok,2017,130,180,854,"Thor, Loki, Hela, Hulk",7.9
Captain Marvel,2019,123,152,1128,"Carol Danvers, Nick Fury, Talos",6.8
Ant-Man and the Wasp,2018,118,130,622,"Scott Lang, Hope van Dyne, Hank Pym",7.0
Guardianes de la Galaxia vol. 2,2017,136,200,863,"Star-Lord, Gamora, Drax, Rocket, Groot, Mantis, Thanos",6.7
Eternals,2021,156,236,402,"Caballero negro, Ikaris, Ajak, Sprite, Thena, Kro, Sersi",5.4
Thor: Love and Thunder,2022,119,250,760,"Gorr, Thor, Zeus, Korg, King Valkyrie, Heimdall",5.3